date,Gansu,Qinghai,Guangxi,Guizhou,Chongqing,Beijing,Fujian,Anhui,Guangdong,Tibet,Xinjiang,Hainan,Ningxia,Shaanxi,Shanxi,Hubei,Hunan,Sichuan,Yunnan,Hebei,Henan,Liaoning,Shandong,Tianjin,Jiangxi,Jiangsu,Shanghai,Zhejiang,Jilin,Inner_Mongolia,Heilongjiang
2007,13796,13679,14390,14281,7505,14228,12800,10092,49870,1724,19637,7593,25861,8728,24258,7494,9073,13375,12290,12850,12776,10626,18548,11108,8526,14994,4130,35754,14584,11614,11629
2008,16865,17706,19809,17842,10096,18285,15042,13495,59374,3601,25570,10404,31849,10457,30530,10356,11989,16398,15493,15135,14471,13234,22305,13609,10294,19987,10308,42569,17095,15176,13168
2009,20633,21794,24122,22175,11852,23446,16726,16556,66339,10144,30809,13587,36407,12647,36766,12624,14568,18630,19895,18071,15699,14704,27095,14355,12160,24227,11159,47046,18400,18020,13636
2010,24992,25300,27443,26552,13277,31606,12440,19887,72776,30312,32357,14295,35639,14357,43272,14177,17177,21148,24842,21691,18460,15639,31225,14136,13993,28318,11779,51972,17028,21635,13195
2011,29099,28619,27325,32171,15214,43237,15017,24975,83429,45448,35308,17877,42257,16474,49844,18673,20901,25432,32245,24029,20873,18400,37042,15032,14597,34322,13718,59985,17826,25151,12287
2012,30751,30117,27085,37757,18547,58134,18028,28924,99413,71185,39353,17908,39751,19133,57044,20544,22836,27033,38209,24179,23450,20667,39379,17796,17564,39230,19383,56465,17351,26535,11700
2013,32206,29774,25877,42992,20239,75966,31228,34018,110921,90733,44839,17772,39650,21612,62301,20636,24202,29347,43479,24263,25796,21991,40462,18937,18592,42336,24619,57586,16976,26405,10172
2014,34400,29242,24852,46729,22571,94416,34975,37962,122104,110396,49938,17296,37417,22242,64577,19596,25171,31065,48289,23154,27206,21329,38571,20636,19470,44771,27849,57586,16235,24468,7292
2015,33497,25361,24431,50660,24777,118128,39176,42260,138040,129281,55647,18421,37112,21848,62783,19301,25455,31445,53407,20512,27727,18280,40286,21910,21209,46449,31178,53839,13999,22783,2778
2016,32967,15210,19129,52974,24104,129497,40283,45951,145879,129651,49842,20211,33922,22217,60272,17955,27749,28622,48426,18084,23326,13484,39276,19065,18508,46983,39315,49607,11958,19407,-4013

